j, count, amp,
792330,539,0.02655029296875,
793800,540,-0.371246337890625,
795270,541,-0.13677978515625,
796740,542,0.26690673828125,
798210,543,-0.110321044921875,
799680,544,-0.0009765625,
801150,545,-0.0435791015625,
802620,546,-0.2222900390625,
804090,547,0.005279541015625,
805560,548,0.0347900390625,
807030,549,0.115081787109375,
808500,550,0.136199951171875,
809970,551,-0.12823486328125,
811440,552,-0.059783935546875,
812910,553,-0.021026611328125,
814380,554,0.023193359375,
815850,555,-0.087982177734375,
817320,556,0.1199951171875,
818790,557,-0.476531982421875,
820260,558,0.08782958984375,
821730,559,0.076019287109375,
823200,560,0.086273193359375,
824670,561,0.02978515625,
826140,562,0.090667724609375,
827610,563,0.12725830078125,
829080,564,-0.0062255859375,
830550,565,-0.04168701171875,
832020,566,0.326934814453125,
833490,567,0.162628173828125,
834960,568,0.083343505859375,
836430,569,-0.16064453125,
837900,570,-0.009735107421875,
839370,571,-0.16162109375,
840840,572,-0.091796875,
842310,573,0.20526123046875,
843780,574,0.04840087890625,
845250,575,-0.088653564453125,
846720,576,-0.124267578125,
848190,577,-0.070587158203125,
849660,578,-0.36041259765625,
851130,579,-0.268096923828125,
852600,580,0.191436767578125,
854070,581,0.19952392578125,
855540,582,0.405029296875,
857010,583,-0.469268798828125,
858480,584,0.30517578125,
859950,585,-0.091339111328125,
861420,586,0.13922119140625,
862890,587,-0.11273193359375,
864360,588,-0.03948974609375,
865830,589,0.08660888671875,
867300,590,0.016510009765625,
868770,591,-0.249267578125,
870240,592,0.029876708984375,
871710,593,-0.15966796875,
873180,594,0.34271240234375,
874650,595,0.012786865234375,
876120,596,-0.163116455078125,
877590,597,-0.125518798828125,
879060,598,-0.215301513671875,
880530,599,-0.012359619140625,
882000,600,0.129974365234375,
883470,601,-0.117431640625,
884940,602,0.323272705078125,
886410,603,-0.135162353515625,
887880,604,0.014434814453125,
889350,605,0.242156982421875,
890820,606,-0.108978271484375,
892290,607,-0.191802978515625,
893760,608,-0.629913330078125,
895230,609,0.055816650390625,
896700,610,0.078521728515625,
898170,611,0.17926025390625,
899640,612,0.1458740234375,
901110,613,0.10174560546875,
902580,614,-0.15509033203125,
904050,615,-0.099578857421875,
905520,616,0.146575927734375,
906990,617,0.242401123046875,
908460,618,0.076904296875,
909930,619,0.01983642578125,
911400,620,-0.090789794921875,
912870,621,0.134490966796875,
914340,622,-0.071990966796875,
915810,623,-0.007965087890625,
917280,624,0.092987060546875,
918750,625,-0.206024169921875,
920220,626,0.434967041015625,
921690,627,-0.3377685546875,
923160,628,0.30828857421875,
924630,629,-0.12890625,
926100,630,0.09442138671875,
927570,631,-0.05792236328125,
929040,632,0.018524169921875,
930510,633,0.003662109375,
931980,634,-0.00225830078125,
933450,635,0.00146484375,
934920,636,-0.024749755859375,
936390,637,0.0218505859375,
937860,638,-0.038421630859375,
939330,639,0.002532958984375,
940800,640,-0.02496337890625,
942270,641,0.017578125,
943740,642,0.0799560546875,
945210,643,-0.080963134765625,
946680,644,-0.111602783203125,
948150,645,0.00714111328125,
949620,646,-0.157196044921875,
951090,647,0.08465576171875,
952560,648,0.02154541015625,
954030,649,-0.051422119140625,
955500,650,0.0108642578125,
956970,651,-0.159820556640625,
958440,652,0.09759521484375,
959910,653,0.017120361328125,
961380,654,0.031158447265625,
962850,655,-0.0010986328125,
964320,656,0.02685546875,
965790,657,0.130523681640625,
967260,658,-0.347686767578125,
968730,659,0.15972900390625,
970200,660,-0.445831298828125,
971670,661,0.027801513671875,
973140,662,-0.0086669921875,
974610,663,0.004150390625,
976080,664,0.001495361328125,
977550,665,-3.0517578125e-05,
979020,666,0.000732421875,
980490,667,-0.00048828125,
981960,668,-0.000885009765625,
983430,669,-0.00091552734375,
984900,670,-0.000579833984375,
986370,671,0.0001220703125,
987840,672,-0.000518798828125,
989310,673,3.0517578125e-05,
990780,674,-0.000152587890625,
992250,675,6.103515625e-05,
993720,676,-6.103515625e-05,
995190,677,-0.000152587890625,
996660,678,-0.0001220703125,
998130,679,0.000701904296875,
999600,680,-0.0008544921875,
1001070,681,-0.00103759765625,
1002540,682,0.00927734375,
1004010,683,-0.13775634765625,
1005480,684,-0.367431640625,
1006950,685,0.389373779296875,
1008420,686,-0.27398681640625,
1009890,687,-0.01312255859375,
1011360,688,-0.18829345703125,
1012830,689,-0.40338134765625,
1014300,690,-0.31298828125,
1015770,691,0.24493408203125,
1017240,692,-0.186431884765625,
1018710,693,0.0504150390625,
1020180,694,-0.258392333984375,
1021650,695,0.077911376953125,
1023120,696,-0.15350341796875,
1024590,697,-0.034393310546875,
1026060,698,0.11529541015625,
1027530,699,-0.266632080078125,
1029000,700,0.121795654296875,
1030470,701,-0.104461669921875,
1031940,702,-0.1737060546875,
1033410,703,-0.1409912109375,
1034880,704,-0.096771240234375,
1036350,705,-0.018768310546875,
1037820,706,0.403533935546875,
1039290,707,0.16278076171875,
1040760,708,0.059326171875,
1042230,709,0.10467529296875,
1043700,710,-0.067291259765625,
1045170,711,0.201812744140625,
1046640,712,0.25372314453125,
1048110,713,-0.019256591796875,
1049580,714,0.04693603515625,
1051050,715,0.26007080078125,
1052520,716,-0.2265625,
1053990,717,-0.271484375,
1055460,718,0.0443115234375,
1056930,719,0.19512939453125,
1058400,720,0.132568359375,
1059870,721,-0.114410400390625,
1061340,722,0.140777587890625,
1062810,723,0.0885009765625,
1064280,724,-0.178192138671875,
1065750,725,0.0684814453125,
1067220,726,-0.526275634765625,
1068690,727,0.278289794921875,
1070160,728,-0.06378173828125,
1071630,729,0.028076171875,
1073100,730,-0.06512451171875,
1074570,731,0.028472900390625,
1076040,732,0.2337646484375,
1077510,733,-0.0609130859375,
1078980,734,0.2315673828125,
1080450,735,-0.040679931640625,
1081920,736,0.1351318359375,
1083390,737,0.415069580078125,
1084860,738,0.079742431640625,
1086330,739,0.13818359375,
1087800,740,-0.006744384765625,
1089270,741,0.15234375,
1090740,742,0.305419921875,
1092210,743,0.243377685546875,
1093680,744,0.03924560546875,
1095150,745,0.091033935546875,
1096620,746,-0.0491943359375,
1098090,747,-0.287994384765625,
1099560,748,0.33990478515625,
1101030,749,-0.023834228515625,
1102500,750,0.0911865234375,
1103970,751,0.23931884765625,
1105440,752,0.0067138671875,
1106910,753,0.29791259765625,
1108380,754,-0.129364013671875,
1109850,755,0.080535888671875,
1111320,756,-0.182037353515625,
1112790,757,-0.25286865234375,
1114260,758,-0.229736328125,
1115730,759,0.070770263671875,
1117200,760,-0.146087646484375,
1118670,761,0.1876220703125,
1120140,762,0.080230712890625,
1121610,763,0.0411376953125,
1123080,764,0.388336181640625,
1124550,765,-0.13543701171875,
1126020,766,0.140045166015625,
1127490,767,0.271392822265625,
1128960,768,-0.680999755859375,
1130430,769,0.224090576171875,
1131900,770,-0.33209228515625,
1133370,771,0.13427734375,
1134840,772,-0.144134521484375,
1136310,773,0.017822265625,
1137780,774,0.0709228515625,
1139250,775,0.088623046875,
1140720,776,0.049530029296875,
1142190,777,0.036102294921875,
1143660,778,-0.015045166015625,
1145130,779,0.0643310546875,
1146600,780,-0.177947998046875,
1148070,781,-0.05963134765625,
1149540,782,0.0885009765625,
1151010,783,-0.191925048828125,
1152480,784,0.069427490234375,
1153950,785,-0.130615234375,
1155420,786,-0.1275634765625,
1156890,787,0.0562744140625,
1158360,788,0.116912841796875,
1159830,789,-0.083343505859375,
1161300,790,-0.06182861328125,
1162770,791,0.04693603515625,
1164240,792,0.011138916015625,
1165710,793,-0.020599365234375,
1167180,794,0.410858154296875,
1168650,795,0.515625,
1170120,796,-0.17449951171875,
1171590,797,-0.012847900390625,
1173060,798,-0.093292236328125,
1174530,799,0.07025146484375,
1176000,800,0.03375244140625,
1177470,801,0.01800537109375,
1178940,802,0.00689697265625,
1180410,803,-0.0140380859375,
1181880,804,-0.00732421875,
1183350,805,-0.000518798828125,
1184820,806,-0.02911376953125,
1186290,807,-0.0343017578125,
1187760,808,-0.008148193359375,
1189230,809,-0.036529541015625,
1190700,810,-0.29486083984375,
1192170,811,-0.114227294921875,
1193640,812,0.231597900390625,
1195110,813,-0.062164306640625,
1196580,814,-0.0020751953125,
1198050,815,-0.044158935546875,
1199520,816,0.26416015625,
1200990,817,-0.101226806640625,
1202460,818,-0.05029296875,
1203930,819,-0.005279541015625,
1205400,820,0.192108154296875,
1206870,821,0.0130615234375,
1208340,822,0.07183837890625,
1209810,823,-0.03753662109375,
1211280,824,-0.08001708984375,
1212750,825,-0.103668212890625,
1214220,826,-0.116912841796875,
1215690,827,0.035247802734375,
1217160,828,0.021331787109375,
1218630,829,0.00347900390625,
1220100,830,-0.08026123046875,
1221570,831,-0.008819580078125,
1223040,832,0.0,
1224510,833,0.00274658203125,
1225980,834,0.000518798828125,
1227450,835,-0.003814697265625,
1228920,836,-0.016326904296875,
1230390,837,0.14495849609375,
1231860,838,-0.1890869140625,
1233330,839,0.24176025390625,
1234800,840,-0.293548583984375,
1236270,841,-0.051239013671875,
1237740,842,0.16265869140625,
1239210,843,0.072662353515625,
1240680,844,0.182647705078125,
1242150,845,-0.182159423828125,
1243620,846,-0.0177001953125,
1245090,847,0.06390380859375,
1246560,848,0.248138427734375,
1248030,849,-0.240142822265625,
1249500,850,0.3280029296875,
1250970,851,-0.506195068359375,
1252440,852,0.2935791015625,
1253910,853,-0.299896240234375,
1255380,854,0.02923583984375,
1256850,855,0.0484619140625,
1258320,856,0.20166015625,
1259790,857,0.059814453125,
1261260,858,0.009002685546875,
1262730,859,0.09002685546875,
1264200,860,-0.08251953125,
1265670,861,0.18402099609375,
1267140,862,-0.11358642578125,
1268610,863,0.05731201171875,
1270080,864,-0.2978515625,
1271550,865,0.163848876953125,
1273020,866,0.122833251953125,
1274490,867,0.0382080078125,
1275960,868,0.07525634765625,
1277430,869,-0.146881103515625,
1278900,870,0.068939208984375,
1280370,871,-0.12884521484375,
1281840,872,-0.111175537109375,
1283310,873,0.24639892578125,
1284780,874,0.011138916015625,
1286250,875,0.253143310546875,
1287720,876,0.351715087890625,
1289190,877,-0.09234619140625,
1290660,878,0.263153076171875,
1292130,879,0.5703125,
1293600,880,-0.201202392578125,
1295070,881,-0.095458984375,
1296540,882,0.0703125,
1298010,883,-0.082733154296875,
1299480,884,-0.114593505859375,
1300950,885,0.138336181640625,
1302420,886,-0.18896484375,
1303890,887,-0.175750732421875,
1305360,888,0.145355224609375,
1306830,889,0.03173828125,
1308300,890,-0.100494384765625,
1309770,891,-0.104736328125,
1311240,892,-0.0091552734375,
1312710,893,0.040802001953125,
1314180,894,-0.01190185546875,
1315650,895,-0.5296630859375,
1317120,896,0.412353515625,
1318590,897,-0.254364013671875,
1320060,898,0.20867919921875,
1321530,899,-0.26397705078125,
